,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by
0J7YW1GBPG13B8LD3UE5LI80Z0,Ultimate Avengers,"Justin Gross, Justin Gross, MIchael Massee","Kids, International","Curt Geda, Steven E. Gordon", 7+ Older Kids,"Steve Rogers a.k.a Captain America, returns after 60 years, from being frozen in ice. Nick Fury, the director of S.H.I.E.L.D discovers Steve's body, and they together recruit other superheroes; Iron Man, Thor, Wasp, Black Widow and Giant Man. The first assignment is against 'Chitauri', who breaks into the facility and acquires sensitive information. Will they defeat 'Chitauri' and save the world?",,Marvel Animation,
0SKPNFY5EN147HOSA4BMYIJPF1,Doctor Strange,"Bryce Johnson, Paul Nakauchi, Kevin Michael Richardson","International, Kids","Dick Sebast, Frank Paur, Jay Oliva, Patrick Archibald", All Ages Kids,"After losing his hands in a car accident, Stephen Strange attempts to recover his limbs. The quest for it takes him to Tibet, where he trains under the Ancient One to conquer the title of Sorcerer Supreme. Amidst this, he discovers that Dormammu, a malicious being is trying to penetrate the dimensions of the planet using the Human Mind.",,Marvel Studios,
0J7Z2MS7WDDLQENDWI10W2TDXP,Transformers Prime - Season 01,,Kids,"David Hartman, Shaunt Nigoghossian, Vinton Heuck, Todd Watermann, Scooter Tidwell", 7+ Older Kids,"For centuries across the universe, the Autobots have battled their greatest foes, the Decepticons. But on Earth, they face a new threat – discovery by the human race. Using their ability to disguise themselves, the Autobots have managed to avoid detection. But now they require the assistance of their human friends to not only help keep their secret, but to defeat the Decepticons once and for all!",,Hasbro Studios,
0MJBHCKI3G66LNVWIOHOHDTIBZ,Lanfeust Quest - Season 1,"Kevin Aichele, Nolan Balzer, Tim Bandfield",Kids,Antoine Charreyron, All Ages Kids,"In the imaginary world of Troy, every individual possesses a unique superhuman power. However, there is a mystical object, a medallion, that can magically endow all such powers to one person-but not just anyone. Fate has anointed two chosen ones: Lanfeust, a hot-headed teenager; and Thanos, a cruel tyrannical pirate. By pure chance, the medallion has fallen into Lanfeust’s hands.",,,
0I5MAGXSYA1G6SLO30T8IWHJAS,Asterix the Gaul,"Roger Carel, Jacques Morel, Pierre Tornade",Kids,Dargaud Films, All Ages Kids,"After countless beatings by Asterix and Obelix, the Romans decide to kidnap the druid, Getafix in the hope of getting the secret formula for his magic potion.",,,
0SKQFX3QJGL0N3398O9XID6YH0,Time Kid,Danielle Young,Kids,Will Monroe, All Ages Kids,"When the teenaged son of the inventor of the Time Machine realizes that his father is lost in time, he embarks on a spectacular adventure, traveling further and further into the future to find his father and bring him home to 1902 America.",,dhx_media,
0R9TYUS5O8769S1PIMCKSHD9XR,"20,000 Leagues Under the Sea","John Lee, Jennifer Andrews Anderson",Kids,Scott Heming, All Ages Kids,"The larger-than-life Jules Verne adventure about reclusive genius Captain Nemo, his magnificent submarine, The Nautilus, and the perilous voyage he makes with a group of captive adventurers, one of which is a young woman disguised as a man.",,,
0MNL2QHYWG47VQMEJGF06WYN9Q,Hanuman The Immortal 1,"NA, NA, NA","International, Kids",Suresh E C, All Ages Kids,"Kabir and Maya are orphaned by an unusual accident. Rock Shah, a mysterious entrepreneur, claims to have found a new sustainable energy source. Are the constant tremors in the ground and earthquakes related to Rock Shahs project? Kabir thinks so. Meanwhile Hanuman comes to warn Kabir about Rock's sinister plans and to aid him. Two questions arise.. who is Rock Shah? And can Kabir stop him?",,Toonz Animation India Pvt Ltd,
0RE4YX9KAOENZ0D9VINL53WX4V,"Love, Kennedy","Jasen Wade, Heather Beers, Tatum Chiniquy","Faith and Spirituality, Kids, Drama",T.C. Christensen, 7+ Older Kids,"Kennedy Hansen is a funny, loving child but inexplicably she begins to fall. It takes years for the diagnosis; Juvenile Batten Disease, an extremely rare, terrible and terminal prognosis. There is no cure for Batten Disease and after living only sixteen years, Kennedy leaves behind a great legacy of love and friendship. But her story doesn't end at her death, that's when the miracles really begin.",,Samuel Goldwyn Films,
0G9FUWOK4K76U970YVLN9F3YF0,"Nutcracker, The","Darci Kistler, Damian Woetzel, Bart Robinson Cook","Science Fiction, Music Videos and Concerts, Kids",Emile Ardolino, All Ages Kids,Acclaimed dance director Emile Ardolino recreates George Balanchine's classic choreography for Tchaikovsky's The Nutcracker. Macaulay Culkin shows off his dancing and acting in a demanding solo role.,,,
0FWN54ED2X4KBXZ8P0LWY80MQ8,Jack and Jill,"Adam Sandler, Katie Holmes, Allen Covert","Comedy, Kids",Dennis Dugan, 7+ Older Kids,A comedy centered on fraternal twins. Adam Sandler plays both Jack and twin sister Jill.,,"Columbia Pictures, Happy Madison Productions, Jack & Jill Productions, Inc.",
0RIDV7OT77BB8IKZI153ROKXOA,Little Manhattan,"Josh Hutcherson, Bradley Whitford, Cynthia Nixon","Comedy, Kids, Romance",Mark Levin, 7+ Older Kids,Two 11-year-olds fall in love for the first time in New York City.,,,
0FFKDW5YBKH5A1SU0T30Q78FA1,It's A Wonderful Life,"James Stewart, Donna Reed, Lionel Barrymore","Drama, Kids",Frank Capra, 7+ Older Kids,"After George Bailey wishes he had never been born, an angel is sent to earth to make George's wish come true. George starts to realize how many lives he has changed and impacted, and how they would be different if he was never there.",,,
0O2SCO3TF1ME79S8CVZN5CESCT,A Cowgirl's Story,Bailee Madison,"Kids, Comedy, Drama",Timothy Armstrong, 7+ Older Kids,Dusty Rhodes (Bailee Madison) & her grandfather (Pat Boone) rely on their faith & each other while her parents serve in the Afghanistan War.,,Samuel Goldwyn Films,
0TACAKLO3CDG6U8QQBT2E42B1W,A Bear Named Winnie,"Michael Fassbender, Gil Bellows, Ted Atherton","Drama, Kids",John Kent Harrison, 7+ Older Kids,"The extraordinary true story of the black bear who would become the inspiration for the stories of A.A. Milne, and the heroic man who saved her life.",,FilmRise,
0JXKMVJL9EYRYJSVFXAA4KSSUB,The Pirates! Band of Misfits,"Hugh Grant, Martin Freeman, Imelda Staunton",Kids,Peter Lord, 7+ Older Kids,Set sail for a fun-filled pirate adventure with the biggest band of misfits on the seven seas!,,"Aardman Animations Limited, Briny Rogues Limited, Sony Pictures Animation Inc.",
0SXI415R8NFTID3KWG6MVTEKT6,Woolly & Tig - Season 01,"Jamie Oram, Betsy McCredie, Jenny Ryan",Kids,Brian Jameson, All Ages Kids,"Sometimes strange things can seem scary when you’re only three, like Tig. Luckily, Tig’s furry toy spider Woolly is on hand to help her see how new experiences can be fun!",,,
0RV579RPIOD8BA3WGDMN86RFFO,Three Little Kittens and Many More Kitten Cat Songs | Popular Nursery Rhymes Collection | ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,"Three Little Kittens Hey Diddle Diddle Pussy Cat, Pussy Cat Ding Dong Bell Jack and Jill Wheels On The Bus | Wild Animals Finger Family Giraffe Little Bo Peep Has Lost Her Sheep V2 Finger Family Elephant Wheels On The Bus | Farm Animals and more videos.",,,
0N0DJNCQTT1ZNY0A407SDAP4BK,Hey Duggee - Season 01,"Alexander Armstrong, Sander Jones, Phillip Warner",Kids,Grant Orchard, All Ages Kids,"Duggee looks after the Squirrels, who earn different badges on their adventures.",,,
0O6ZUO4UE0S8DFFFKUL3837NA0,My Little Pony Friendship is Magic - Season 4,,Kids,"Jayson Thiessen, Jim Miller, James Wootton", All Ages Kids,"Twilight Sparkle may be the smartest unicorn in Equestria, but there's more to life than learning magic. So Celestia sends her to Ponyville on a mission to make friends.",,Hasbro Studios,
0G558BOZ7IVZQMZQNUY3I49TTV,Wishenpoof - Season 1,"DevanCohen, Johnny Orlando, Adrian Lloyd",Kids,"Cameron Lizotte, Gilly Fogg", All Ages Kids,"Bianca is just like any other little girl, except for one teensy little thing. Bianca has Wish Magic, so she can make wishes come true. Whether she's at home in Wish World, at the Willow Tree with her fairy friends, or at school with her non-fairy friends, Bianca and her hilarious teddy bear sidekick Bob navigate day-to-day problems with a little help from Bianca's mom and of course, wish magic!",,Amazon Studios,
0TZV1PJXVU0Y5WIMJUUM1ITNR0,The Serpent King,,"International, Kids",Rajiv Chilaka, All Ages Kids,The film features Serpent King who is in search of a special mantra to gain powers. He must first defeat the King of Vanar Rajya who knows about the mantra and its powers.,,,
0FFKD4S61Z7FG69PT6GTQCXYKL,Krishna in Vrindavan,,"Kids, International",Rajiv Chilakalapudi, All Ages Kids,"The adventures of Krishna and his friends in Vrindavan are filled with action and excitement, as they discover new forests and face new demons. All through these fun adventures Krishna and his friends are challenged by demons, which are finally destroyed by Krishna and Balram.",,,
0OSB4KMXZJNWAJ0HOB16VJW05J,Kalvakra Returns,,"Kids, International",Rajiv Chilaka, All Ages Kids,Kalvakra is rescued by the sorceress and they team up to unleash the indestructible Nivatkavach army which is locked up inside the deep confines of the earth. By controlling that army they plan to defeat Krishna Balram and then conquer the entire earth.,,,
0GM8J3ALR6MSCOUKGP2RDA6A0N,The Dancing God - Shiva,Animation Characters,"International, Faith and Spirituality, Kids",Ashtam, All Ages Kids,The Dancing God Shiva a wonderful mythological movie in Hindi is about Lord Shiva The Auspicious One. The movie depicts many popular tales of Lord Shiva like the story of King Daksha and The Yagna.,,Shemaroo Entertainment Ltd,
0N4OHN36ZTKOF224Z7AW2HJBFY,Legend Of Buddha,Animation Characters,"Kids, International, Faith and Spirituality",Shamboo S. Phalke, All Ages Kids,"Legend Of Buddha is a wonderful animated movie in Hindi. The journey of how Prince Siddharth Gautama became Buddha, The Enlightened One. The movie features spectacular animation technology to narrate the story of Buddha right from his childhood till the day he attains Nirvana. The story reflects qualities of truth, morals and sacrifice for the younger generation.",,Shemaroo Entertainment Ltd,
0LTQUK2LKLLP1EGAPC43IN2QDK,Tales of Siva 2,"NA, NA, NA","International, Kids",Renju Ramesh, All Ages Kids,"The movie depicts the stories of Lord Shiva and his children, Ganesha and Kartikeya, showcasing different lessons of life. Watch this interesting movie to know more about Lord Shiva and how he deals with various kinds of problems. The stories are beautifully portrayed with a good animation and narration taking into consideration the minute details.",,Toonz Animation India Pvt Ltd,
0OSB5501NGXOKLB4CLO3BLAT06,Pandavas 5,"NA, NA, NA","Kids, International",Rudra Matsa, All Ages Kids,"Based on the Indian epic 'Mahabharata', it depicts the battle between good and evil. The Pandavas and Kauravas take each other on in the battlefield of 'Kurukshetra'. The Pandava's unity and loyalty towards their family is commendable. Kauravas arrange vindictive methods to defeat the Pandavas for the throne of Hastinapur. Who will win this epic battle? Will good prevail over evil?",,Toonz Animation India Pvt Ltd,
0TVLMP9A7Q3WV5FNE4SSOHIAVY,Tales of Siva 1,"NA, NA, NA","Kids, International",Renju Ramesh, All Ages Kids,The movie sheds light on the five different stories of Lord Shiva taken from Shiv Puraan containing five unique lessons of life. Watch this interesting movie and know more about Lord Shiva and how he deals with various kinds of problems. The stories are beautifully portrayed with the help of good animation and give the children a feel of their grandma narrating the story.,,Toonz Animation India Pvt Ltd,
0O2QETLSXNDM25104KU2YTM967,Kalvakra,,"Kids, International",Rajiv Chilaka, All Ages Kids,"Kalvakra is a mighty asura and is regarded as a living devil. He has a powerful army of millions and is invincible in battle due to a boon he enjoys. When his Army carry away Udho, his friends Krishna and Balram, along with Radha, undertake the journey by sea to Kalvakra's island kingdom, upset Kalvakra's plans to capture them, mange to free Udho and get him safely back to Vrindavan.",,,
0N4MSICEKB8Y4K69KHZNNEHTLH,Pataliputhra,,"International, Kids",Rajiv Chilaka, All Ages Kids,"The ruined city of Pataliputra wears a haunted look. Krishna arrives in Dholakpur and goes straight to meet Bheem for help. Bheem and team readily agree and set off for Pataliputra. Upon reaching, they find that people refuse to speak to them, and at night people actually turn into zombies.",,,
0OFIS91C9ERQ8RYWPMAXJJJG6S,Karamati Coat,"Irrfan Khan, Veerendra Saxena, Manohar Singh","Kids, International",Ajay Kartik, All Ages Kids,"Karamati Coat is an award winning children’s movie, directed by National School of Drama alumni, Ajay Kartik. The movie revolves around Raju, a poor rag-picker, and his magical coat with a secret attached to it which changed his life. Soon, the secret is out to Raju's brother-in-law, who conspires to steal the coat even at the cost of harming Raju.",,,
0JTA45HO4WDW140U5XRPOYRFMA,Luv Kushh and the Ghost Army,,"International, Kids",Rajiv Chilaka, All Ages Kids,Minister of the ghost army promises everyone that they will be converted back to the human form if they bring him the purest soul on the planet. While the ghost army is all set to capture the baby 'Narad' see how Luv Kushh defeat this army.,,,
0KZWN36SUFU1AVB9JHCD15FW9M,Chhotabheem aur Krishna,,"International, Kids",Rajiv Chilaka, All Ages Kids,"About 500 years ago, the five kingdoms around Dholakpur joined together to end Kirmada’s rule. Now a mysterious force has brought him back from the dead. The Dholakpur army led by Bheem fight bravely but they is no match to the magically powerful Goblins.",,,
0FFKDQ6HCILB468TB028UIVO9X,Transformers Rescue Bots - Season 1,"Lacey Chabert, Elan Garfias, Maurice LaMarche",Kids,"Frank Molieri, Nathan Chew, Kevin Altieri, Frank Squillace", 7+ Older Kids,Transformers Rescue Bots follows the adventures of four young Transformers and their human counterparts- a family of emergency responders.,,Hasbro Studios,
0I1CEJ3NE39O8VVFLTXZUCTNDQ,Zig and Sharko - Season 1,"NA, NA, NA",Kids,Olivier Jean-Marie, All Ages Kids,"Zig the hyena is hungry and all he wants to do is, eat the beautiful mermaid named Marina. But no matter what he tries, Sharko the shark is always one step ahead of him, stopping him from harming Marina. Zig and his friend Bernie use many devious ideas and gadgets, but nothing seems to work with Sharko standing guard. But Zig is persistent and keeps trying despite Sharko's obstruction.",,Xilam Animation Studio,
0QX1F2HA67Q15BQN1T3DCW84HZ,The Daltons Season 1,"NA, NA, NA",Kids,Charles Vaucelle, 7+ Older Kids,"William, Jack, Averell and Joe Dalton are forever trying to out of jail. Though they often come close, they never quite make it out. What their plans lack in ingenuity, they make up for with sheer willpower. Joe is the head while Averell is the genius and William and Jack are ever ready to lend a hand. Constantly a victim of their own circumstances, the Daltons need a lucky break, literally.",,Xilam Animation Studio,
0HKAKATHAOYR1T5QC15G46PI1J,Sarah & Duck - Season 2,"Tasha Lawrence, Roger Allam, Lesley Nicol",Kids,"Sarah Gomes Harris, Tim Fehrenbach, Tim O'Sullivan", All Ages Kids,"The series follows the adventures of Sarah, a very kind, polite seven-year-old girl, with big eyes, rosy cheeks and a green hat, and her best friend Duck, a Mallard.",,,
0RE374HIZL02DYLW49D9DOGFWG,Zou - Season 1,"NA, NA, NA",Kids,Olivier Lelardoux, All Ages Kids,"Zou, an animated children's series deals with the day to day life and adventures of Zou, a young anthropomorphic zebra. Most of the stories take place in his house or in his backyard. Each episode narrates and deals with simple problems which are dealt with by Zou with the help of his friends and family members. Each episode teaches us life lessons which are sure to strike a cord with children.",,"Cyber Group Studios, Scrawl Studios",
0HBRLLIM21J33KDN3POHO17D15,Cleo Season - 1,,"Kids, International",Ana Sanchez-Gijon, All Ages Kids,"Cleo tells us about her everyday life, and each episode follows a plot where she tries to be just like her best friend, Irma. They discuss important topics like healthy lifestyles, environmental awareness, and the preciousness of friendship, in an unconventional animation technique.",,La Casa Animada,
0JTA9H3LBDOE52V6Z4SHZ8KTPY,Hey Dugge,"Alexander Armstrong, Sander Jones, Jasmine Bartholomew",Kids,Grant Orchard, All Ages Kids,It's nearly Christmas and Duggee is wrapping presents to go under the tree. He asks the Squirrels if they want to help decorate the clubhouse for Christmas. But they don't just want to decorate the clubhouse; they want to decorate everything; including Duggee and Enid the cat!,,,
0L4668RPHPRS1Z554K7UAU18PO,Mia - Season 1,"NA, NA, NA",Kids,"Olivier Lelardoux, Ghislain Cyr", All Ages Kids,"Mia the mouse lives in the attic of an age old victorian cottage and is always looking for an adventure. She thinks very little when it comes to taking risks, often resulting in her and her friends ending up in awkward situations. Marty is her intellectual but cautious friend while Grandma Mimi always chips in with her wise advice. Watch Mia and her friends embark on one adventure after another.",,"Cyber Group Studios, Sardine Productions",
0G558BOZ1YDH4MOJN6A04W8L22,Creative Galaxy Season 1,"Kira Gelineau, Samantha Bee, Jason Jones",Kids,Larry Jacobs, All Ages Kids,"Follow the adventures of Arty and his sidekick Epiphany, as they search the galaxy to solve creative problems with art! Whether Arty needs to create a painting for the new children's library, a stuffed animal for his sister, or make a mask for his jungle pretend play, Arty and Epiphany come to the rescue by enlisting the help of the most creative of all - the preschool home viewer.",,Amazon Studios,
0OJSD4BOAYAMYG8HI3FBWZ672C,Ozie Boo - Season 1,"NA, NA, NA",Kids,Oliver Lelardoux, All Ages Kids,Five friends explore the wintery wilderness and enjoy amazing adventures along the way. These tiny heroes must learn to live together through thick or thin and must keep all of their wits about them to survive each adventure and learn valuable life lessons along the way. Witness the drama unfold and how these heroes lead by example on how to be successful in overcoming all odds with teamwork.,,"Esteban Productions, Future Thought Productions Ltd.",
0PHVZHP449NXWUSJ6JU2VUK9GE,Spot Bots - Season 01,,Kids,, All Ages Kids,Laugh and play along with the Spot Bots as they host fun games and puzzles to get viewers switched on.,,,
0QSRG0AVZB88E1CTXU737QPM7N,Tumble Leaf Season 1,"Christopher Downs, Brooke Wolloff, Zak McDowell",Kids,Drew Hodges, All Ages Kids,"Tumble Leaf is a series aimed at preschoolers, set in a whimsical land where a small blue fox named Fig plays each day and discovers adventure, friendship and love around every bend in the path. Children will be enriched by these narratives that promote play, the fun of learning and understanding the world around them.",,Amazon Studios,
0TVLWB2DREMGQHGJ90HPDK8AOT,"Wheels On The Bus Farm Animals, Wild Animals, London, New York and Lots More Nursery Rhymes | ChuChuTV",ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,Wheels On The Bus | Wonders of the world Wheels On The Bus | Kenya Wildlife Safari Wheels On The Bus | London City Wheels On The Bus | New York City Wheels On The Bus | Part 2 Wheels On The Bus | Part 1 Johny Johny Yes Papa | Part 2 Wake Up Song One Two Buckle My Shoe Numbers 1-20 and more videos.,,,
0LGYRC3SI15Z3WGG7QVIH1NWG6,Ding Dong Bell Nursery Rhyme (KITTY CAT) and Many More Nursery Rhymes and Kids Songs by ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,"Ding Dong Bell The Finger Family Party Mashup Mix Elephant Finger Family ABC Phonics Song Rain, Rain, Go Away | New Version Humpty Dumpty Sat On A Wall Hickory Dickory Dock | Part 2 Ten In The Bed Johny Johny Yes Papa and more videos.",,,
0SXI9FM19EQFCQNCSWXJK1R6HT,Old MacDonald Had A Farm and Many More Nursery Rhymes for Children | Kids Songs by ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,"Old MacDonald Had a Farm Hickory Dickory Dock The Finger Family Song Humpty Dumpty Sat On A Wall Rain, Rain, Go Away New Johny Johny Yes Papa Pussycat, Pussycat 123 Numbers Song Lion Finger Family Baa Baa Black Sheep and more…",,,
0NU7N5POQ32WNR52NSTMWR30SG,Mini Ninjas - Season 1,"NA, NA, NA",Kids,Jean Duval, All Ages Kids,"This exciting season is all geared up for the adventures of Hiro, who is the last descendant to practice the Kuji magic and is trained by the legendary Ninja master on the Ninja mountain. Watch Hiro fight all the evil Samurais lined up against him with his friend and partner Futo, who helps him live a double life; one of normal existence, and the other of unparalleled heroism.",,Cyber Group Studios,
0S3P1LHHTY6RQE3YJKRC79191J,Fast and Furriest,"Julia Flood, Rob Notman, Rebecca Perry",Kids,Marco Deufemia, All Ages Kids,"Chuck and Woodsly head to the Fur Ball Run so they can meet their racing hero. When these pups go from spectators to being accidentally entered in the race, Chuck and Woodsly are in for the ride of their lives. Can they win this cross country scavenger hunt against a pack of drivers from across the animal kingdom? What team will get their paws, or claws across that finish line first?",,Brain Power Studio,
0N8WJ6U79TSKR635TVV1UNXABO,Johny Johny Yes Papa PART 3 and Many More Videos | Popular Nursery Rhymes Collection by ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,Johny Johny Yes Papa - Part 3 Park Song (PLAY) Johny Johny Yes Papa - Part 2 Humpty Dumpty Three Little Kittens Johny Johny Yes Papa - Part 1 Twinkle Twinkle Little Star Baa Baa Black Sheep The Finger Family Ding Dong Bell and more…,,,
0H7IAGIT5O1RGUJU7YB9ZK5TSQ,The Jungle Bunch,,Kids,, 7+ Older Kids,"Through this series of reports and interviews, these animals will reveal a bit of their private lives to us and we will discover their habitat, their eating habits, their hobbies etc. In this way, they may explain to us how they spend their days; things that are not necessarily as extraordinary as we may think but certainly very interesting. These are everyday events, from their daily lives.",,,
0MW443F7XOEFG5BRAJU9Q9HWS6,Bunyan and Babe,"Mark Hamill, Kay Cole, Kelsey Grammer","Kids, International",Louis Ross, 7+ Older Kids,"Over the summer, siblings- Travis and Whitney, sent over to their grandfather's country farm uncover a tunnel that leads to a secret hideout into another world. Here, Travis finds the giants, Paul Bunyan and Babe the blue ox, exiled from the Dead Forest. Travis along with his sister decides to seek the giants' help to stop an evil land developer from usurping the beautiful county.",,Toonz Animation India Pvt Ltd,
0PM59139JFSZC8AIO5FCRMBKN8,Chaplin & Co,,"Comedy, Kids",Cyril Adam, 7+ Older Kids,"The twenty-first century. Shy, awkward and touching, Chaplin is a little man dressed all in black, wearing mustache and Bowler hat, who never separated from his Cane. Chaplin has only one goal in life: to help others.",,,
0L466OCOXDHI10DA35SB36A5E0,Andy’s Prehistoric Adventures - Season 01,"Andy Day, Elaine Claxton, Puja Panchkoty",Kids,, All Ages Kids,"Join Andy on an epic prehistoric adventure, as he travels back in time to meet the dinosaurs and ice-age beasts that once roamed our planet.",,,
0KRDXXBRK7HVX7UIA271Y08I14,The Stinky & Dirty Show - Season 1,"Jonathan Adams, Jacon Guenther, Darin DePaul","Animation, Adult Interest, Kids",, All Ages Kids,"The adventures of best friends and unlikely heroes, Stinky the garbage truck and Dirty the backhoe loader, a dynamic and hilarious duo of resourcefulness that learn when things don't go as expected, asking ""what if"" can lead to success. Based on books by Jim and Kate McMullan. Written and developed by Guy Toubes.",,Amazon Studios,
0MW3V01631AJOTZ4EM3BUDQPLG,Andy’s Wild Adventures - Season 1,Andy Day,Kids,John Miller, All Ages Kids,Andy Day embarks on wild adventures with his puppet friend Kip the cat. Their adventures take them all around the world in search of weird and wonderful animals.,,,
0I1EBCRA5IVK78CD3ASIA2SVUS,Hard Hat Harry,,Kids,Lucius G. Tatum, All Ages Kids,"Join the lovable genie, Hard Hat Harry and his group of friends for an exciting journey into the world of Trains!",,Total Content Digital,
0MW3VQTIPINRHRFT26F05COKUQ,The New Adventures of Peter Pan - Season 1,,Kids,Augusto Zanovello, All Ages Kids,"Follow the adventures of Peter Pan, Tinkerbell, Wendy and her brothers, John and Michael, as they take on Captain Hook and his pirates in a never ending battle to save Neverland.",,,
0FBAVT8TEAM0S3B4EFA4HBT9L7,Lassie - Season 1,,Kids,Jean-Christophe Roger, All Ages Kids,"An animated update of the classic series by Eric Knight, that brought Lassie into the 21st century.",,,
0RQW74ST3VQXW5Z506RKRAJS2B,My Fair Madeline,"Chantal Strand, Whoopi Goldberg",Kids,Scott Heming, All Ages Kids,"When Madeline tries to stop thieves in The Louvre, she is accused of misbehavior and sent off to a London finishing school to improve her manner.",,dhx_media,
0HOK23M7C1IPI2FS0AK5NT2SV7,The Green Balloon Club - Season 2,"Chris Howard, Debbie Korley, Jake Pratt",Kids,, All Ages Kids,"Join the green balloon as it takes an exciting journey of wildlife discovery, travelling the country to entice young viewers to go green and explore the nature around them.",,,
0TZV31AP87NLODL3GGABTJSMAI,Nelly & Nora - Season 1,"Clodagh Kane, Aoibhinn McAuley, Ardal O'Hanlon",Kids,Jamie Teehan, All Ages Kids,A delightful series about two young sisters and their weather-inspired adventures.,,,
0IZG0WBYT2OUH8Z0I25R2TAD49,A Kind of Magic - Season 01,"NA, NA, NA",Kids,Charles Vaucelle, All Ages Kids,"Gregor and Willow try their best to live an ordinary life with their kids Tom and Cindy. With Magic being their blessing and curse, ordinary life is a difficult dream. What happens when the kids begin to take magic lessons from Grandpa and when Tom is stuck being invisible? From raising a baby dragon and a talking frog as pets, will they manage to keep their magic a secret from the neighbours?",,Xilam Animation Studio,
0R1BJQE9UVJTMX9GQQH3JKX03D,The Archies in Jugman,"Andy Rannells, Chris Lundguist",Kids,Scott Heming, All Ages Kids,"When a new geothermal heating system is installed under Riverdale High, Jughead's hairy Neanderthal ancestor thaws out instantly out-Jugheading Jughead, becoming the toast of Riverdale.",,dhx_media,
0LCPR0Q57CEO1HSMQQ5TP1MF47,Inspector Gadget Saves Christmas,"Don Adams, Maurice Lamarche",Kids,Chuck Patton, All Ages Kids,"Inspector Gadget is everyone's favorite bionic policeman. Aided by his niece, Penny and his faithful dog, Brain, Inspector Gadget is out to save Santa Claus and Christmas from the evil clutches of Dr. Claw and his mindless followers.",,dhx_media,
0TN2OYE642U85MF2D0DXV5DUKC,The Adventures of Tenali Raman - Season 01,"NA, NA, NA","Kids, International",Roger Dondis, All Ages Kids,"Tenali Raman is the comic poet of Vijaynagara. With constant evil schemes by the Rajguru and others to watch out for, Tenali manages to outwit everybody. Join him on these hilarious adventures, as he battles evil puppeteers and deadly phantoms, all the while never forgetting to deliver a few laughs!",,Toonz Animation India Pvt Ltd,
0PHVU1GNCSXGBGB7LWH9RQ1POM,Let's Celebrate - Season 1,Patrick Lynch,Kids,Iwan Watson, All Ages Kids,Join Thomas Ticker and see children prepare for different faith and cultural festivals.,,,
0TVLQGCY3M8G9TOLQ0UHZO9LKQ,Jollywobbles - Season 1,Justin Fletcher,"Comedy, Kids",Justin Fletcher, All Ages Kids,"This live action comedy sketch show features one of the UK's favourite children's presenters, the Baftawinning Justin Fletcher.",,,
0G552N6MOA9B5UIQ9W97WW3P4K,Show Me Show Me - Season 1,"Chris Jarvis, Pui Fan Lee",Kids,, All Ages Kids,An enchanting and entertaining series for pre- schoolers which explores the magic of the everyday in a playground high in the sky.,,,
0JP0YAWJKEHPN7ZZ21YGUJCAC8,If You're Happy And You Know It and More Videos | Popular Nursery Rhymes Collection by ChuChu TV,ChuChu and Friends,"Kids, International",ChuChu TV Studios, All Ages Kids,If You're Happy Old MacDonald Had A Farm BINGO Dog Song Head Shoulders Knees and Toes Row Row Row Your Boat Twinkle Twinkle Little Star Hickory Dickory Dock Incy Wincy Spider Little Bo Peep Has Lost Her Sheep Rain Rain Go Away and more…,,,
0OFIPR0SLGMJV4B3KE7VUJZPQ7,Mighty Raju Season 01,,"International, Kids",Rajiv Chilaka, All Ages Kids,A four-year-old Raju receives super human strength when his then pregnant mother accidentally consumes a compound created by his scientist father.,,,
0LGYGIX54O4185UUTKM5WE51VN,Kid Krrish,"NA, NA, NA","International, Kids",Sooraj M K, All Ages Kids,"Krishna has inherited some special powers from his father, Rohit. Jadoo, an alien, comes down to earth to complete an unfinished job. Jadoo and Krishna meet and go on an exciting journey.",,Toonz Animation India Pvt Ltd,
0R1BBXK6VN5NLW9GJTNTY718NX,Mighty Raju Japan Calling,"Julie Tejwani (Voice), Sabina Malik (Voice), Jigna Bharadwaj (Voice)","International, Kids",Shyamal, All Ages Kids,Raju and friends have to save Japan from Kaba who has an army of robots and a powerful Fobo stone which can erase people’s memories.,,,
0K1T5W7RF5NQAPF1ADBNLXFAKN,Chhota Bheem Himalayan Adventure,,"International, Kids",Rosauro B Adorable, All Ages Kids,"Chhota Bheem and his friends travel to Manali on vacation to play adventure sports. The evil HIdimbak tries to loot a kingdom and usurp the throne, but Bheem takes it upon himself to stop him.",,,
0MF21TE1IH6H1I9365H6PRF1Z6,Chorr Police Season 01,,"Kids, International",, All Ages Kids,"Anthony is a thief who lives in the slums of Mumbai. He usually steals not for himself, but for other people. Because of which, he is known as the Robinhood Slumdog of Mumbai. Not that it matters who he steals for, since the police will try to catch him anyway. His constant battle to outwit Lovely Singh, and they both find themselves in adventures one after the other",,,
